,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
none-none-regularized,0,320.41345977783203,77.10923099517822,0.0,0.5081450059578825,14.769335524432096,0.0,True,log
none-ranking_sort-regularized,1,320.1173667907715,87.58662223815918,0.2960929870605469,0.41999357506218227,14.9574108089019,4.7681870190176205,True,log
none-direction-regularized,2,202.92642498016357,47.5593147277832,117.48703479766846,0.0,14.242246790288252,17.552481685846022,True,log
none-single_cue-regularized,3,182.77207469940186,41.70726299285889,137.64138507843018,0.03747270551842238,14.348857072228936,19.926402917399145,True,log
none-equal_weighing-regularized,4,172.36745071411133,40.644046783447266,148.0460090637207,0.03438871346151284,14.597437450531494,20.35620552396084,True,log
