,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
none-none-unregularized,0,376.84184169769287,111.70068550109863,0.0,0.9409889922210634,22.449644855104257,0.0,True,log
none-ranking_sort-unregularized,1,359.29548263549805,108.72295188903809,17.546359062194824,1.0069491141880543e-14,22.253319724775178,5.852096535614176,True,log
none-direction-unregularized,2,146.97769451141357,43.94471740722656,229.8641471862793,0.05652665263059183,15.838716622197767,23.17117933236721,True,log
none-equal_weighing-unregularized,3,65.22797107696533,23.56250286102295,311.61387062072754,1.001136259130536e-14,11.492957732093517,24.698853313219097,True,log
none-single_cue-unregularized,4,63.198302268981934,23.41464328765869,313.64353942871094,0.0024843551483246795,11.196598048350108,24.679754464880887,True,log
