,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
direction-equal_weighing-regularized,0,1188.7521781921387,100.6296238899231,0.0,0.5733400183067431,35.75942340683359,0.0,True,log
direction-direction-regularized,1,1138.8878049850464,446.1908025741577,49.864373207092285,0.4266599812624321,40.167149460881234,32.29530538587493,True,log
direction-none-regularized,2,1117.7922496795654,461.79581356048584,70.95992851257324,2.569116399281773e-10,40.54055706551299,32.62443787055748,True,log
direction-ranking_sort-regularized,3,577.7858338356018,734.827045917511,610.9663443565369,7.899003726762526e-10,84.56108826236449,82.98769561712376,True,log
direction-single_cue-regularized,4,19.6495361328125,16.273948669433594,1169.1026420593262,0.0,8.899064052661007,37.218671674527556,False,log
