,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
ranking-single_cue-regularized,0,443.8039970397949,40.32177257537842,0.0,0.635963125999975,21.44466634535516,0.0,True,log
ranking-ranking_sort-regularized,1,412.7279119491577,83.67486190795898,31.076085090637207,0.36403687397747475,20.646168427215272,16.562350492812225,True,log
ranking-none-regularized,2,384.0045108795166,94.05033111572266,59.79948616027832,0.0,19.946579834802755,17.37098697309766,True,log
ranking-direction-regularized,3,166.30155181884766,46.578975677490234,277.50244522094727,0.0,16.411880240482407,23.496897356632477,True,log
ranking-equal_weighing-regularized,4,59.21901607513428,20.649144172668457,384.58498096466064,2.2550294964673867e-11,10.99065566538665,24.562826939690744,True,log
