,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
direction-direction-unregularized,0,861.2902421951294,460.1555027961731,0.0,0.7697687668805694,53.09295055138622,0.0,True,log
direction-none-unregularized,1,833.7987842559814,489.78333282470703,27.49145793914795,0.0,55.25779121760489,9.839910545015165,True,log
direction-equal_weighing-unregularized,2,640.6130437850952,62.08203125,220.67719841003418,0.22744212627215532,36.31919729783196,50.919881172750294,True,log
direction-ranking_sort-unregularized,3,572.3993301391602,568.7067718505859,288.89091205596924,1.3202164134879954e-09,63.38625780686315,44.35184597686586,True,log
direction-single_cue-unregularized,4,-6.365550994873047,9.482139587402344,867.6557931900024,0.0027891055270589105,6.294887648012479,54.00182883080588,True,log
